tcID,ArtID,AName,Quote
20,2,N65,"Aqui principia lo que se llamó ""Segunda Campaña del Perú"", teniendo por General en Gefe del Ejército Libertador al General D. Simón Bolívar, la batalla más notable que dió dicho General, fué la de ""Junín"" - 6 de agosto de 1824.- Fué esta batalla digna de tiempos antiguos, donde no se oyó un solo disparo de arma de fuego, pues se combatió á arma blanca (lanza y sable) y en la cual el teniente coronel Bogao se distinguió por su bravura y pericia militar, era entonces segundo Gefe del Regimiento de ""Granaderos á caballo"".-"
21,2,N67,"Terminada la anterior campaña y habiéndose hecho cargo del comando del Ejército el Mariscal D. Antonio José de Sucre, tuvo lugar la decisiva batalla que se dió durante la Guerra de la Independencia, la gran batalla de ""Ayacucho"" - 9 de diciembre de 1824- en la cual se selló con nuestra sangre la emancipacion de casi todo el continente sud-americano. Cábele la gloria al Coronel Bogao de haber sido ascendido al rango de coronel en el campo de batalla y habérsele dado entonces el mando del histórico regimiento que formó uno de los mas ilustres capitanes de nuestro siglo. Terminada la guerra de la Independencia en el campo de ""Ayacucho"", el Coronel Bogao al mando de su bravo regimiento regresó a Chile, repasó los Andes y llegó a esta ciudad (Buenos Aires) en el año de 1826, en la cual por orden del gobierno fue disuelto el cuerpo en que Bogao habia ascendido desde soldado ralo hasta coronel. Despues de esto el Coronel Bogao fué nombrado Gefe Superior de las Milicias del norte de la Provincia de Buenos Aires, cuyo cargo ocupó hasta el año 1830, época en la cual (si mi memoria no me es infiel) fallecio en la ciudad de San Nicolas de los Arroyos. -"
22,2,N69,"En cuanto á sus méritos personales como militar, debo declararle a Ud. en honor de la justicia que el Coronel D. José Félix Bogao fué valiente entre los valientes, militar fervoroso, honrado, regido y austero en el cumplimiento de su deber como pocos gefes habran habido. Desinteresado y generoso, su corazon como su bolsillo siempre estuvo abierto á todo el que tuvo necesidad de él. Fue en fin, Don José Félix Bogao, un excelente soldado como un cumplido oficial y uno de los gefes distinguidos que tuvo el Ejército de los Andes. "
23,2,N71,"Con respecto á su físico se lo describiré á Ud. á grandes rasgos: -Era el Coronel Bogao un hombre de regular estatura, grueso, de un color blanco-pálido, de ojos negros y mirada muy viva, nariz recta, boca regular, cabello negro, la barba la usaba como casi todos los guerreros de aquella época, es decir, bigote, mosquita y patillas a la española. Era en fin lo que se puede llamar un buen mozo y de ser grueso su figura á caballo era gallarda, pues fué muy ginete. Espero que estas maltrazadas líneas puedan servirle á Ud. de algo, me despido de Ud. su Affmo. "
24,2,N74,Eustaquio Frías.
25,2,,
26,3,N33,"Buenos Aires, 17. XII de 1888"
27,3,N35,Sr. General
28,3,N37,Dr. Martín de Gainza
29,3,N39,Señor:
30,3,N42,"En virtud de la resolución acordada por la asamblea de sanjuaninos residentes en Buenos-Aires, la Comisión que suscribe ha resuelto en sesión de anoche nombrar a Vd. para formar parte de la Comisión que ha de correr con la suscripción de la estatua del ilustre estadista Gral. Sarmiento que se levantar en la ciudad de San Juan."
31,3,N47,"En consecuencia, contando con su adhesión y su admiración por el ilustre muerto, esperamos quiera honrarnos prestándonos su consagración al logro de este propósito a socio de los distinguidos señores cuya nómina se adjunta. Saludamos a Vd. atte. "
32,3,N50,Isidoro Albarracín
33,3,N52,(siguen firmas)
34,3,,
35,4,N33,"Quito, abril 24 de 1892"
36,4,N35,Señor D. Adolfo Caranza.
37,4,N37,Buenos Aires
38,4,N39,Mi estimado señor y amigo-:
39,4,N42,"sigue nuestro canje de libros, con mucho contento de mi parte. "
40,4,N44,"He recibido lo que Vd. me ha remitido, y desearía que no me quede trunco el 1er tomo de la Revista del Archivo General, pues no me ha llegado la primera entrega."
41,4,N49,"Por el correo de hoy, en paquetes certificados, remito a Vd. el Atlas Arqueológico (texto y láminas) de la obra de González Suárez, y los tomos primero y segundo de la Historia del Reino de Quito por el sr. Velasco. Es sumamente dificil conseguir esta obra, y esos dos tomos, que son los mas importantes, los he adquirido por casualidad. Haré las diligencias de conseguir el tomo primero que comprende la historia natural, que se lo mandaré inmediatamente. Pronto irá también a manos de Vd. el Beramar del Dr. D. A. D. F. Cevallos-; no va hoy mismo, porque se me está componiendo el tomo cuarto. Son tres paquetes lo que debe recibir Vd."
42,4,N51,"Desearía que Vd. me enviase el Ensayo de la Hist. Civil del Paraguay, del Deán Funes, y las Hist. de Belgrano y de San Martín, por el General Mitre. Estas obras son muy poco conocidas por aquí."
43,4,N53,"Actualmente me ocupo en escribir una crítica histórica-; enseguida perfeccionaré la Hist. de la Restauración en Ecuador, y ambas obras verán la luz tal vez el año próximo. Todo depende de que Dios me conceda regular salud, por ahora no es de la mejor. "
44,4,N56,Consérvese Vd. bueno y ocupe a su muy atento amigo y affmo.
45,4,N58,León Mera
46,4,N60,Apartado Nr. 88
47,4,,
48,5,N33,Muy apreciado señor:
49,5,N36,Tuve el gusto de recibir su muy atenta carta del 12 de febrero del presente año y también me han llegado las dos primeras entregas del periódico que Vd. redactaba con tan notorio acierto.
50,5,N38,"Supongo ya en poder de Vd. una carta mía en la cual le avisaba el envío de varios números de la revista literaria, entre ellos el primero, que Vd. había tenido la amabilidad de pedirme. Acepto con mucho gusto el canje de obras que Vd. me propone. Sólo que, como la mayor parte de las que señala están agotadas en las librerías, hay que irlas consiguiendo poco a poco de segunda mano. Hoy le encamino dos paquetes encomendados. "
51,5,N40,"Respecto de los números de la ¨Revista Literaria¨ Vd. tendrá la bondad de hacer llegar dos ejemplares a los señores Jacobsen y Cia., uno al señor D. J. Lagomaggiore y el otro para la colección de Vd."
52,5,N42,"Como veo que Vd. da la frecuencia a obras históricas y de geología de nuestro país, trato de complacerlo enviándole de ellas las que pueda. Como guía de la que Vd. se digna mandarme en cambio, me atrevo a indicarle que también me interesan particularmente las de dichos ramos."
53,5,N48,"Deseando recibir las órdenes, y que Vd. me favorezca siempre con su correspondencia, me repito su muy affmo. "
54,5,N50,Isidoro Laverde Amaya
55,5,,
56,6,N33,"Por la carta del señor Coronel Santa Cruz que precede verá Vd. que las charrateras de su señor padre el Mariscal Santa Cruz me las regaló para que yo las usara en mi uniforme de Teniente General, cosa que no es posible por cuanto que nuestro uniforme reglamentario no admite alteración alguna sin previo mandato de la superioridad. El color de las palas de las charrateras del sr. Mariscal Santa Cruz son de color verde, y las que usamos nosotros es punzada."
57,6,N38,"Remitiéndolas para que formen parte de los objetos que encierra ese nuevo Museo de que es Vd. su digno director,"
58,6,N41,"Capital, enero 9 de 1886"
59,6,N43,Donato Alvarez
60,6,N45,Teniente General
61,6,,
62,7,N26,"Buenos Aires, enero 2 1890"
63,7,N28,Al señor Intendente D. Francisco Seeber -
64,7,N30,Señor -
65,7,N33,"Habiéndose dispuesto el local que en el edificio del cabildo había sido concedido al ""Museo Histórico"", y en el cual estaba ya preparada la sala en que debía instalarse la Comisión encargada de organizarlo, mis condiciones que S.S. conoce, y la forma para mi inadmisible en que se ha anulado todo lo acordado, deciden y hacen irrevocable la renuncia que tengo el honor de presentarle. Saludo al Señor Intendente -"
66,7,N39,Andrés Lamas
67,7,,
68,8,N45,"En cumplimiento de lo dispuesto por la ley promulgada el 17 de octubre pasado y habiéndose reducido a escritura pública en la Escribanía Mayor del Gobierno la donación hecha por D. Francisco P. Moreno, de las colecciones que deben formar el Museo Antropológico y Arqueológico de Buenos Aires, el Poder Ejecutivo -"
69,8,N50,Acuerda y decreta:
70,8,N52,"Art 1o. Nómbrase director del Museo Antropológico y Arqueológico de Buenos Aires a D. Francisco P. Moreno, con el sueldo de 5.000 pesos mensuales, con arreglo al artículo 2o de la misma Ley.-"
71,8,N54,"Art 2o. Anualmente el Director pasará una memoria, en la que exprese los aumentos de las colecciones y el resultado de sus viajes de exploración en la República."
72,8,N56,"Art 3o. Consérvense las colecciones por ahora, y con arreglo a las condiciones de la donacion, en el edificio propiedad de la familia del donante, siendo obligación del Director en su cuidado, conservación y aumento."
73,8,N58,"Art 4o. El Director deberá formar y conservar un archivo de las comunicaciones especiales que se refieren al mismo Establecimiento, y procederá a la redacción de los catálogos, previa claificación científica."
74,8,N60,"Art 5o.Comuníquese a quienes corresponde, publíquese y dése al P.O."
75,8,N63,Firmas
76,8,,
77,9,N33," Buenos Aires, 4 de abril de 1887"
78,9,N36,Por 15 cabezas de indios a $ 50 cada uno $ 750.00
79,9,N41,Por un indio grande a natural. $ 100.00
80,9,N43,Por cuatro cuadros de la rotonda a $ 200 cada uno $ 800.00
81,9,N45,Por un cuadro quasi concluido sobre pared (que se ha hecho a perder por la umedad) $ 100.00
82,9,N47,Por siete paisages en la rotonda a $ 100 cada uno $ 700.00
83,9,N49,Por 24 vasos pintados en el frente del Museo a $ 10 cada uno $ 240.00 
84,9,N51,Son $ 2690.00
85,9,N56,Recibí en cuento en el mes de julio de 1885 $ 100
86,9,N58,""" "" "" "" "" "" agosto de 1885 $ 100"
87,9,N60,""" "" "" "" "" "" noviembre de 1885 $ 100"
88,9,N62,""" "" "" "" "" "" mes de septiembre de 1886 $ 86,40"
89,9,N64," "" "" "" "" "" "" 18 de septiembre a octubre de 1886 $ 200"
90,9,N66,""" "" "" "" "" "" septiembre de 1886 $ 100"
91,9,N68," "" "" "" "" "" 29 de marzo "" $ 200"
92,9,N70,Son $ 840
93,9,N72,En el mes de diciembre del año 1885 recibí para el retrato de su señora madre $ 200. Tengo que percibir la suma de $ 1850.
94,9,N75,Luis de Seruy
95,9,N54,Trabajos del Museo
96,9,,
97,10,N33,"La Plata, 24 de octubre de 1887"
98,10,N35,Sr. Jefe de la Oficina de Estadística de la Provincia de Buenos Aires
99,10,N38,"En contestación a su atenta de fecha del 19 del presente en la que me pide datos estadísticos sobre el Museo de la Provincia, a mi cargo, tengo el placer de acompañarle lo que es posible dar por el momento, tratándose de un establecimiento que en tan corto tiempo ha reunido colecciones mucho más numerosas que otros que llevan varios lustros de existencia, colecciones que por otra parte todavía no están convenientemente instaladas, puesto que el edificio mismo continua aún en construcción, no encontrándose disponible ni la mitad de la superficie total que ocupa."
100,10,N43,"Hai por el momento habilitados diez salones que presentan una superficie aproximada de 2500 metros, en la que se encuentran ya regularmente instaladas las secciones de antropología, paleontología, anatomía comparada, zoología, geología y mineralogía. La sección de antropología geológica, comprende ya montados y convenientemente arreglados, unos 60 esqueletos y más de 700 cráneos humanos de distintas razas pero especialmente sudamericanas. La colección de paleontología puede considerarse una de las mejores y única en lo que concierne a paleontología sudamericana. Tiene unos veinte esqueletos armados de grandes mamíferos estinguidos, unos 1500 piezas montadas y mas de 40.000 piezas sueltas. Entre los esqueletos armados, son dignas de mención los del Lestodon Megathenium, Dactycium, Testodon, Mylodon, Parvectus y Glyptodon."
101,10,N45,"La sección de anatomía comparada comprende cerca de cien esqueletos armados, 150 cráneos, 800 huesos montados y preparaciones diversas, y varios centenares de piezas en preparación."
102,10,N47,"La sección zoológica comprende unos 200 ejemplares de mamíferos y reptiles empajados, unos mil páraros, 500 frascos conteniendo minerales y preparaciones en alcohol, unos ocho a nueve mil insectos, una colección de huevos y (...) y varios miles de medusas y otros animales inferiores."
103,10,N49,"La sección de mineralogía y geología ocupa un vasto salón en el que se encuentran instalados varios miles de ejemplares de rocas y minerales de la República, aunque todavía no convenientemente clasificados por falta absoluta de tiempo."
104,10,N51,"La sección de botánica también contiene un rico herbario en el que se encuentra representada la flora de distintos puntos de la República, particularmente de los territorios australes. "
105,10,N53,"La sección de antigüedades y antropología prehistórica es una de las más notables que existen, pero está por decirlo así almacenada en un salón, por no estar aún pronto el local para su instalación definitiva."
106,10,N55,"Esta colección comprende un crecido número de urnas funerarias, más de mil vasos antiguos, cerca de unos quince mil instrumentos de piedra y de hueso, varios centenares de instrumentos y aun más de cobre y otros muchos objetos diversos."
107,10,N57,"La sección etnográfica también comprende un crecido número de objetos particularmente de Sudamérica y de los habitantes de las islas del Pacífico, pero tampoco están todavía debidamente instaladas."
108,10,N59,"Hai también muchos objetos históricos como armas, trajes, monedas, etc., y una colección de objetos procedentes de las ruinas de los jesuitas en Misiones, que servirán de base para la instalación de una sección histórica, y una ya bastante numerosa colección de cuadros, será el plantel para una sección de Bellas Artes."
109,10,N61,"Cada una de las secciones ya instaladas tiene sus laboratorios y talleres, como existiendo además en el mismo establecimiento, una carpintería para la fabricación de pedestales y un taller de herrería perfectamente montao, en el que se trabajan las armazones de hierro de los esqueletos, y por último un taller fotográfico dotado de todos los aparatos más modernos, y que posee ya unos mil clichés de vistas de paisajes de distintos puntos de la República, tipos de distintas razas, antiguedades, etc."
110,10,N63,"Anexo al establecimiento se encuentra el Parque Zoológico, en el que hai ya un cierto número de representantes varios de la fauna argentina, y un invernáculo principio de huerta botánica, con una hermosa colección de plantas delicadas, raras o exóticas."
111,10,N65,"Como facilmente comprenderá Vd., no es posible dar datos más precisos sobre un establecimiento que está en instalación, y que cuenta con unos doscientos mil objetos cuya catalogización es trabajo lento y excesivamente fatigoso. Como un dato importante y que le muestra el interés público hacia el establecimiento, agregaré que tal cual ahora está, cuenta término medio con unos doscientos visitantes diarios. "
112,10,N68,"Saluda a Vd. con todo respeto,"
113,10,N70,Francisco P. Moreno
114,10,,
115,11,N33,Estimado señor y amigo:
116,11,N36,"Dentro de pocos días podré decir a Vd. si le puedo dar un pequeño trabajo con una lámina. En caso de sí, sería la descripción de un nuevo género de pez, para el petromyzon macrostomus. (1868) Hemos obtenido un ejemplar pescado cerca de Montevideo. No pertenece a ningún género existente. Lo haré dibujar."
117,11,N41,"El cráneo que no fue encontrado en urna, es dela Isla del Vizcaíno. Pertenece aun á la comisión de exploración de Madrid, en vista de lo cual no puedo disponer sobre él. Haremos una excursión a esa isla para buscar otros cráneos y esqueletos completos, y veremos si provienen de indígenas o de caídos en alguna guerra grande o chica que dicen ha habido por allí. "
118,11,N43,"El cráneo, al cual falta la bóveda (las fracturas son frescas), es bastante pragmático, con las colmillas de la mandíbula inferior salientes."
119,11,N46,"Sin otro motivo, por hoy saluda a Vd. atentamente"
120,11,N48,Su affmo. amigo
121,11,N50,C. Berg 
122,11,,
123,12,N33,Al Señor Director del Museo de La Plata
124,12,N35,D. Francisco P. Moreno
125,12,N37,Señor Director:
126,12,N40,"la Comisión de este establecimiento enviada en Septiembre del año pasado al Territorio de Santa Cruz y confiado á mi dirección para la esploracion científica de esa parte de Patagonia acaba de terminar sus trabajos para la presente estacion y con este motivo al regresar del Puerto de Santa Cruz, me es grato poderle adelantar los principales datos, hasta ahora desconocidos que se refieren especialmente á la region andina tanto en parte geográfica como en la de la geologia de la zona que he podido estudiar."
127,12,N45,"En primer lugar hemos atravesado las mesetas elevadas situadas entre el Rio Santa Cruz y el Chalia ó Sheuen, fijando la posicion de numerosas aguadas."
128,12,N47,"Luego el Lago Argentino, que da nacimiento al Rio Santa Cruz, ha sido esplorado por su costa norte, despues de cruzar el torrentoso Rio Leona, hasta la terminacion ntal de su brazo ó canal del Norte cuyo límite lo forman enormes ventisqueros, cuyas fotografias poseemos. "
129,12,N49,"La formacion de esta última parte pertenece á juzgar por los fósiles que hallamos en abundancia al Frías. Los cortes geológicos sumamente interesantes corroboran esta asercion y prueban la antiguedad de las capas terciarias superiores, en las que descubrimos restos de enormes Saurios. "
130,12,N51,"La Cordillera de los Andes forma en esta ultima parte una cadena no interrumpida de montañas cuyas cuestas nevadas dan lugar á la formacion de ventisqueros de los que se desprenden enormes tempanos de hielo que se ven flotan en el Lago Argentino. En esta excursion llegamos más al Oeste del grado 73 de Longitud de Greenwich y á una altura de 1500 metros proximamente sobre el nivel del mar, pisando las nieves persistentes. Pasamos despues por el Lago Biedma hacia el Norte, hasta tocar el Rio Chalia ó Sheuen, cuyo valle ascendimos al Oeste, llegando así al Lago San Martín, donde segun las instrucciones debia practicar un examen geológico del terreno. Pude observar hasta el limite occidental de ese lago y guiado por los fósiles hallados atribuyo una antiguedad que puede llegar al permo carbonífero á las capas inferiores, entre las que se me puso de manifiesto un yacimiento de carbon de piedra, muestras del cual existen en nuestro poder. "
131,12,N53,Descendimos después por el valle del Sheuen hasta la confluencia del Rio Chico y más tarde volvimos al Puerto de Santa Cruz.
132,12,N55,"La region basaltica entre el Sheuen y el de Santa Cruz por las 71'30* de Long. W. Greenw. fué atravesado y su relevamiento geográfico hecho con prolijidad. Los grandes obstáculos que se presentaron á nuestro paso con el vehículo de cuatro ruedas de que disponiamos, se vencieron, es cierto, pero debo hacer constar que considero casi impracticable viajar con carros por esos senderos."
133,12,N57,"Al terminar esta breve reseña me falta poner en su conocimiento que las colecciones hechas han sido trasladadas con nosotros en el Transporte Nacional ""Ushuaia"" á Buenos Aires y constan de setenta cajones. El comandante de este ultimo Transporte Juan M. Noguera, corresponsal de este Museo así como el Comandante D. Federico Muglier y la oficialidad del vapor ""Villarino"" son acreedores á nuestro agradecimiento por la cooperacion que nos han prestado en la carga y descarga de los útiles necesarios para nuestra empresa. Saluda al Sr. Director con el mayor respeto"
134,12,N60,Carlos V. Burmeister
135,12,,
136,13,N33,"Se trata de decorar la Exposición Continental de la industria, con una exposición simultánea, y en el mismo edificio, de objetos de carácter y valor histórico."
137,13,N38,"En tal exposición tiene el primer lugar lo que más directamente represente las glorias del país-; y desde que se resuelva su exhibición, debe tratarse para uno de que se reuna el mayor número posible-; y segundo de que la exhibición se haga con el mayor decoro."
138,13,N40,"Reunir, por la primera vez, estos preciosos objetos, hoy dispersos en toda la extensión del territorio, y existentes en algunas localidades, como sucede en esta misma capital, fuera del lugar que les corresponde, sería evitar nuevos y dolorosos extravíos, y adquirir la base más importante para un establecimiento nacional destinado a conservarlos con la veneración que merecen."
139,13,N45,Esta concentración sólo puede efectuarse por la acción del Gobierno Nacional.
140,13,N47,"El Gobierno Nacional investirá con el carácter de delegado suyo residente de la Comisión Histórica de la Exposición Continental, y le confiará la guardia, conservación y prepración de los objetos nacionales destinados a la Exposición, de los que se dará los recaudos que se pidieren."
141,13,N49,"Además del catálogo o lista que se distribuirá en la Exposición y que siguiendo los números de orden que les corresponda a los objetos según su colocación, que sólo tendrá por fin hacerlos conocer del público, se organizará bajo la dirección del P. de la Com., delegado del Gobno., y por cuenta del Tesoro Nacl. un catálogo metódico y un catálogo razonado de los objetos que compongan la Exposición Histórica, para ser distribuido por el mismo Gobno., como lo estima conveniente, en el acto de la clausura, y para ser remitido a los gobiernos extranjeros"
142,13,N51,Este libro llevará las sigientes ilustraciones-:
143,13,N56,Medallas del Virreinato
144,13,N58,Uniformes y escudos de los patricios de Buenos Aires
145,13,N60,Lámina de Oruro / Guirnalda y palma de Potosí
146,13,N65,Facsimile de la Acta de Instalación de la Junta de 25 de Mayo de 1810
147,13,N67,Vistas del antiguo Cabildo y del antiguo Fuerte de Buenos Aires
148,13,N69,"Facsimile de la Acta de la Independencia, julio 9 de 1816"
149,13,N71,Vista de la casa de Tucumán en que se proclamó la independencia
150,13,N73,Bandera de los ejércitos patriotas de la independencia que se encuentran en la exposición
151,13,N75,"Medallas conmemorativas, o de premios, cordones y escudos de la revolución y de la guerra de la independencia"
152,13,N77,"Facsimile del Himno Nacional Argentino, escrito de puño y letra del autor-"
153,13,N80,"El gobno. Nacional le mandaría entregar al delegado una cantidad de dinero para compensar a los empleados que tome, para la correspondencia, y para el manuscrito y corrección del libro, y para la preparación de los objetos que se exhiben como cree conveniente, devolviendo lo que quedase, al dar cuenta del cumplimiento de su encargo."
154,13,N54,Época colonial
155,13,N63,Revolución y guerra de la Independencia
156,13,,
157,14,N33,"Buenos Aires, febrero 22 de 1882"
158,14,N35,Señor Ministro-:
159,14,N38,"La Comisión que presido ha contado con que no le faltaría la importante y patriótica colaboración del Exmo. Gobierno de la Provincia de Buenos Aires para darle a la Exhibición Histórica de la Exposición Continental, la significación y el brillo que puede y debe tener al realizándose en esta ciudad capital del antiguo Virreinato y cuna de la Revolución de Mayo."
160,14,N43,"En aquel concepto y para este fin, tengo el honor de solicitar los objetos de valor histórico que posee la Provincia de Buenos Aires, y designadamente los siguientes-:"
161,14,N46,La guirnalda de Potosí y la lámina de Oruro que se encuentran en el Salón de la Corte Suprema de la Provincia
162,14,N48,"Los objetos históricos del Museo de La Provincia, entre los que se encuentran el estandarte real antiguo-; el del Cabildo-; dos bastones de los miembros del mismo Cabildo-; dos escudos de armas del Cabildo, uno tallado en piedra y el otro pintado-; la bandera del cuerpo de la defensa de 1807 mandado por el cnel. Cerviño-; dos chapas de bronce del regimiento inglés no. 71 (masónicas)-; retratos del Virrey Melo de Portugal, del Obispo Latorre, del Intendente Paula Sanz-; caja conteniendo el bastón y otros objetos de Rivadavia-; espada y corbata del general Lavalle-; espada del general Hornos-; espada antigua encontrada en un paraje poco frecuentado de la cordillera-; utensilios que han servido para la inauguración de los ferro-carriles-; estatua en plata de míster Canning obsequiada al dr. D. Valentín Alsina, con motivo del arreglo de la deuda exterior de Buenos Aires-; y algún otro objeto de carácter histórico que puede existir en el Museo, que no conozco o no recuerdo (porque las designaciones que dejo hechas son de memoria)."
163,14,N50,El busto en mármol de Rivadavia y algunos otros objetos que puedan encontrarse en la Casa de Gobierno de la Provincia.
164,14,N52,"Lo que el señor Bibliotecario crea conveniente exhibir para dar idea de las preciosas antiguedades de la biblioteca de la Provincia-; los borradores, que existen en esa biblioteca, de la historia del Deán Funes y algunos otros manuscritos elegidos por el mismo señor Bibliotecario de cuya superior competencia puede confiarse todo."
165,14,N54,"Algunos documentos del Archivo Público que sería preciso elegir, indicando, desde luego, un repartimiento firmado por D. Juan de Garay que está colocado en un cuadro, y un libro de hacienda, creo que de 1586, que es el más antiguo que por acá tenemos."
166,14,N56,"Si el Gobierno lo desea recibiríamos las banderas de la Guardia Nacional de Buenos Aires que hizo la Campaña del Paraguay y que están en el Museo, y formaría aun con ellas un trofeo que conmemorase los servicios nacionales de esa benemérita provincia -"
167,14,N59,"Si el Gobierno se digne acceder a este pedido, y se me envían las órdenes para la entrega de los objetos indicados, se nombrarán dos miembros de la Comisión Histórica para que vayan a recibirlos, y estos señores darán los recibos más minuciosos para resguardo de los jefes de las reparticiones que los entreguen y para nuestro propio resguardo."
168,14,N61,Los objetos serán preparados del mejor modo que permitan los escasísimos recursos con que cuenta esta Comisión-; y en cada caso se colocará una tarjeta con el nombre de la provincia y la declaración de que se exhiben con la autorización de su Gobierno.
169,14,N63,"Tanto respecto a esta declaración como a cualquier otra cosa que con ellos se relacione, recibiré con gusto las órdenes de S.V. "
170,14,N65,"Anticipando mi agradecimiento por la protección que esperamos del exmo. Sr. Gobernador de la Provincia, tengo el honor de ofrecer al Sr. Ministro de Gobierno las seguridades de la más distinguida Comisión."
171,14,N68,Andrés Lamas
172,14,,
173,15,N33,Muy señor mío y de toda mi consideración y respeto-:
174,15,N36,"habiéndose Vd. señor dignado encargarme un programa relativamente a la Exposición Universal en esta ciudad y capital de Buenos Ayres, me cabe la honra de cometer a su ilustre juicio mis pensamientos referentes a todo cuanto creo conveniente y de interés para dar brillo y esplendor a esta grandiosa empresa, a ese rasgo sublime de civilización, a esta fiesta internacional que pronto ofrecerá Buenos Ayres, y con Buenos Ayres toda la República Argentina al mundo entero y que tanta importancia, nombradía y provecho ha de acarrearle."
175,15,N41,Permitame algunas observaciones preliminares. 
176,15,N43,"He siempre tenido fé en la Exposición Nacional de Córdoba, y si no hubiese sobrevenido el cataclismo europeo, la guerra de Entre Ríos, la de la República del Paraguay, la muerte del consul argentino Cambiacci, y muchas otras contrariedades, hubiese esta excedido por cierto a las esperanzas de los optimistas, a pesar de lo costoso del viage y el poco confortable que ofrece aquella Ciudad."
